station,cluster_id
20674,0
20891,0
21946,0
21982,0
23472,0
23891,0
24125,0
24266,0
24343,0
24507,0
24641,0
24688,0
24738,0
24817,0
24908,0
24944,0
24951,0
24959,0
24966,0
25551,0
25563,0
25703,0
30054,0
30230,0
30252,0
30372,0
30393,0
30521,0
30636,0
30673,0
30777,0
30965,0
31004,0
31253,0
31329,0
31388,0
31416,0
31532,0
22217,1
22550,1
22602,1
22641,1
22802,1
22820,1
22837,1
22887,1
23804,1
26063,1
26258,1
26477,1
27037,1
27199,1
27333,1
27459,1
27595,1
27612,1
27648,1
27823,1
28722,1
28900,1
29430,1
31909,1
31960,1
32165,1
33008,1
34123,1
34163,1
34172,1
34391,1
34824,1
34861,1
34880,1
37031,1
37235,1
37472,1
22113,2
22583,2
23205,2
23324,2
23405,2
23418,2
23631,2
23711,2
23724,2
23884,2
23921,2
23933,2
23955,2
28064,2
28138,2
28224,2
28275,2
28434,2
28440,2
28493,2
28661,2
28698,2
29231,2
29263,2
29282,2
29570,2
29612,2
29698,2
29838,2
29866,2
30710,2
30758,2
30823,2
30925,2
30949,2
31088,2
31168,2
31369,2
31510,2
31594,2
31707,2
31873,2
31915,2
32061,2
32098,2
32389,2
32411,2
35121,2
36034,2
25913,3
