method,target_coverage,achieved_coverage,coverage_gap,mean_width
global_quantile,0.8,0.8095720547100412,0.009572054710041189,3.5158810806274428
monthly_conformal,0.8,0.8075567693764729,0.007556769376472872,3.5935488925549395
conditional_station_group_month,0.8,0.8081734687135211,0.008173468713521093,3.5848709824975256
global_quantile,0.85,0.8593925511530075,0.009392551153007522,4.200000000000001
monthly_conformal,0.85,0.8553069180450631,0.005306918045063114,4.247360243469229
conditional_station_group_month,0.85,0.8556813426425567,0.005681342642556708,4.157753223927887
global_quantile,0.9,0.9068453626412352,0.006845362641235142,5.2
monthly_conformal,0.9,0.9045988150562738,0.004598815056273797,5.1663868610950585
conditional_station_group_month,0.9,0.9039380657665793,0.003938065766579291,4.936993032781421
