mode,R2,RMSE,MAE,MedAE,n
zero-shot,0.9427937829185183,1.4402000575455862,1.030655546719928,0.7295156002044677,3624
scratch,0.9760622578235919,0.9316285766754072,0.6765278463068912,0.4877155780792236,3624
finetune,0.9746561490256186,0.9586001930989956,0.699722129843356,0.5142642498016352,3624
