mode,R2,RMSE,MAE,MedAE,n
zero-shot,0.9789420949545733,1.7808254908947656,1.0510013461066319,0.619656658172608,5110
scratch,0.9813912428774515,1.674065575259667,0.969222997965878,0.5594266891479496,5110
finetune,0.9810492989849766,1.689376396145418,0.9708735477667731,0.5665135383605957,5110
