mode,bias_variant,R2,RMSE,MAE,MedAE,n
zero-shot,station_month,0.9786340345204441,1.7938042277013702,1.0340858530783281,0.6144112675146634,5110
scratch,station_month,0.9810096467552726,1.6911428884900663,0.9771694019303514,0.5776657730474413,5110
finetune,station_month,0.9805135245294815,1.71309098487626,0.9800456479506925,0.5675917522649288,5110
