station,overlap_rows,overlap_years,date_min,date_max,baseline_mae,baseline_rmse,baseline_bias,exact_equal_ratio,abs_delta_median,abs_delta_max
30758,4017,11,2013-01-01,2023-12-31,1.2287528005974606,1.7817268757293556,0.30756783669405025,0.05725665919840677,0.7999999999999972,9.500000000000002
31960,4017,11,2013-01-01,2023-12-31,1.1850385860094597,1.6882002000235996,-0.09078914612895196,0.06920587503111775,0.8,10.1
35121,4017,11,2013-01-01,2023-12-31,0.9408762758277321,1.291487034495065,-0.4448842419716206,0.08165297485685835,0.6999999999999997,6.899999999999999
20674,4016,11,2013-01-01,2023-12-31,0.9441982071713149,1.3895732598972657,0.17851095617529877,0.08316733067729083,0.6,8.4
23631,4016,11,2013-01-01,2023-12-31,0.9122758964143427,1.2467797164513794,-0.013022908366533862,0.07719123505976096,0.6999999999999993,6.699999999999999
31088,4016,11,2013-01-01,2023-12-31,0.9329930278884464,1.3237064271126293,-0.06989541832669323,0.07818725099601594,0.6999999999999993,8.700000000000001
34123,4016,11,2013-01-01,2023-12-31,0.5858316733067729,0.7973671191547614,0.0017181274900398625,0.09885458167330677,0.40000000000000213,4.5
31510,4015,11,2013-01-01,2023-12-31,0.9746201743462016,1.31155891956933,-0.013673723536737218,0.07173100871731009,0.7000000000000028,6.600000000000001
24959,4014,11,2013-01-01,2023-12-31,1.1478574987543597,1.573628110765542,-0.048455406078724464,0.056552067762830095,0.8999999999999986,11.300000000000004
28722,4010,11,2013-01-01,2023-12-31,0.854788029925187,1.1643231420238838,0.04999999999999999,0.06483790523690773,0.6999999999999993,6.9
30521,4010,11,2013-01-01,2023-12-31,1.3661097256857855,1.849562191236583,-0.03573566084788028,0.049625935162094764,1.0,10.100000000000001
27595,4009,11,2013-01-01,2023-12-31,0.8485158393614367,1.199626823158605,-0.41459216762284856,0.08306310800698428,0.5999999999999996,5.699999999999999
24266,4003,11,2013-01-01,2023-12-31,1.8035723207594305,2.522976108421808,0.013714713964526632,0.04921309018236323,1.2999999999999972,12.999999999999996
27199,3998,11,2013-01-01,2023-12-31,0.6979489744872436,0.9616404609770193,-0.009954977488744368,0.08779389694847424,0.5,4.9
23884,3988,11,2013-01-01,2023-12-31,1.3580992978936812,1.8959843802919192,0.005090270812437289,0.06544633901705116,1.0,9.900000000000002
28698,3984,11,2013-01-01,2023-12-31,0.9416164658634538,1.295902176014531,0.005220883534136542,0.07781124497991967,0.7,7.199999999999999
30823,3983,11,2013-01-01,2023-12-31,1.2481044438865176,1.736000638658884,-0.5319608335425559,0.050966608084358524,0.8999999999999986,8.599999999999998
31915,3983,11,2013-01-01,2023-12-31,1.1811950790861159,1.6237991178697495,-0.04366055736881749,0.06427316093396937,0.8999999999999986,7.800000000000001
30965,3973,11,2013-01-01,2023-12-31,1.5229801157815255,2.025268266917406,0.023005285678328713,0.04580921218223005,1.1999999999999993,10.2
36034,3972,11,2013-01-01,2023-12-31,1.3320493454179254,1.8773514962530016,-0.02187814702920443,0.06596173212487412,0.9999999999999991,10.1
31416,3971,11,2013-01-01,2023-12-31,1.5028959959707882,2.0499356605856978,-0.024981113069755687,0.059430873835305965,1.0999999999999996,9.900000000000002
31532,3971,11,2013-01-01,2023-12-31,1.4370939309997484,1.9511724129201962,-0.0033996474439687728,0.029211785444472425,1.0,8.9
31594,3966,11,2013-01-01,2023-12-31,1.3776853252647503,1.8871456512486597,-0.02892082702975291,0.06984367120524458,1.0,8.200000000000001
24507,3964,11,2013-01-01,2023-12-31,1.537537840565086,2.1660309812897793,0.03733602421796171,0.06382441977800202,1.0999999999999996,10.5
24944,3960,11,2013-01-01,2023-12-31,1.2886868686868687,1.7654355344397672,0.014141414141414115,0.06237373737373737,1.0,9.5
32061,3957,11,2013-01-01,2023-12-31,1.2407884761182715,1.676220280906967,-0.06338134950720237,0.06469547637098812,0.9000000000000004,8.799999999999999
32098,3955,11,2013-01-01,2023-12-31,1.3513021491782553,1.9174374492226378,-0.028925410872313522,0.0675094816687737,0.9000000000000004,9.3
22550,3954,11,2013-01-01,2023-12-31,0.7459028831562975,1.062270832794237,-0.017223065250379338,0.08978249873545777,0.5,6.199999999999999
26477,3948,11,2013-01-01,2023-12-31,0.35909321175278625,0.5051432531276099,-0.01957953394123604,0.13069908814589665,0.29999999999999893,5.300000000000001
30393,3945,11,2013-01-01,2023-12-31,1.1399493029150825,1.5398788489537112,-0.039619771863117846,0.0641318124207858,0.8999999999999986,7.199999999999999
31369,3945,11,2013-01-01,2023-12-31,1.3828136882129276,1.8777005056309277,-0.046742712294043094,0.06311787072243347,1.0,8.8
23804,3944,11,2013-01-01,2023-12-31,0.7233265720081137,1.027561362129375,0.1460446247464503,0.09685598377281947,0.5,6.199999999999999
30372,3943,11,2013-01-01,2023-12-31,1.410448896779102,1.9850583127956434,0.05726604108546793,0.04970834390058331,1.0,15.0
30777,3935,11,2013-01-01,2023-12-31,1.249631512071156,1.6871432513864544,0.0014485387547649082,0.05565438373570521,0.9000000000000021,8.0
25703,3933,11,2013-01-01,2023-12-31,1.8928553267226036,2.6675122610501316,-0.030917874396135272,0.05822527332824816,1.299999999999999,11.199999999999996
29282,3933,11,2013-01-01,2023-12-31,1.3421052631578947,1.89535208391301,-0.029824561403508785,0.06661581489956776,0.9000000000000004,9.2
28900,3932,11,2013-01-01,2023-12-31,0.6550356052899288,0.8730974083316259,-0.3755340793489318,0.09562563580874874,0.5,4.699999999999999
24908,3931,11,2013-01-01,2023-12-31,1.7981684049860087,2.5355031833494857,-0.029814296616636968,0.05876367336555584,1.200000000000001,11.100000000000001
30673,3930,11,2013-01-01,2023-12-31,1.3811959287531808,1.8567660468329756,0.01590330788804069,0.055216284987277355,1.0000000000000004,7.300000000000001
29698,3929,11,2013-01-01,2023-12-31,1.4105370323237465,1.906837571491584,-0.007635530669381523,0.05243064392975312,1.0999999999999996,9.8
28064,3920,11,2013-01-01,2023-12-31,0.7590816326530611,1.054743899663587,0.016020408163265314,0.07831632653061224,0.5999999999999996,8.5
29231,3918,11,2013-01-01,2023-12-31,1.3511995916283819,1.88966993831011,-0.050280755487493625,0.0681470137825421,1.0,10.399999999999999
31168,3916,11,2013-01-01,2023-12-31,1.1655515832482124,1.6348579356834683,-0.0833758937691522,0.07175689479060265,0.8000000000000007,7.9
24966,3913,11,2013-01-01,2023-12-31,1.612011244569384,2.193365224821361,0.002044467160746233,0.054689496549961664,1.200000000000001,10.6
24951,3912,11,2013-01-01,2023-12-31,1.3389570552147239,1.9145418114129191,0.030010224948875248,0.05828220858895705,0.9000000000000021,11.200000000000003
30949,3902,11,2013-01-01,2023-12-31,1.3584572014351615,1.7932779260737908,0.04133777549974376,0.047667862634546386,1.0999999999999979,7.299999999999997
23955,3900,11,2013-01-01,2023-12-31,1.2826666666666666,1.8184481972698168,-0.07584615384615384,0.06615384615384616,0.9000000000000004,11.4
23418,3896,11,2013-01-01,2023-12-31,0.87097022587269,1.272643976113665,0.021021560574948674,0.09342915811088295,0.5999999999999999,9.0
32165,3893,11,2013-01-01,2023-12-31,0.859414333418957,1.1805850861526377,-0.04698176213716928,0.07731826354996146,0.6000000000000005,5.7
25551,3886,11,2013-01-01,2023-12-31,2.2000514668039113,3.0987138932263676,-0.27071538857436955,0.031137416366443644,1.5,16.299999999999997
31004,3882,11,2013-01-01,2023-12-31,1.2980164863472436,1.763800373292391,-0.12609479649665117,0.05821741370427615,1.0,9.5
22887,3879,11,2013-01-01,2023-12-31,0.7595256509409641,1.0888665285938557,0.023201856148491882,0.08868265016756896,0.5000000000000001,7.1
22602,3878,11,2013-01-01,2023-12-31,0.4392470345538938,0.6800441389673066,0.04455905105724599,0.11500773594636411,0.3,9.1
30925,3862,11,2013-01-01,2023-12-31,1.1709476954945626,1.5398571429566628,0.00455722423614708,0.053340238218539615,0.9000000000000004,7.199999999999999
30252,3859,11,2013-01-01,2023-12-31,1.3703031873542368,1.9171475637079571,0.08587717025136045,0.04923555325213786,1.0,9.900000000000002
26258,3853,11,2013-01-01,2023-12-31,0.5342071113418116,0.7804099623386511,-0.0024137036075784837,0.10225798079418635,0.4,7.699999999999999
22217,3852,11,2013-01-01,2023-12-31,0.4323468328141225,0.7217939460256028,0.07917964693665627,0.14641744548286603,0.2999999999999998,10.8
24817,3840,11,2013-01-01,2023-12-31,1.7592708333333333,2.4362710577164166,-0.030677083333333324,0.043229166666666666,1.2999999999999972,10.6
22820,3839,11,2013-01-01,2023-12-31,0.4666319353998437,0.6674003950511302,0.10263089346183903,0.10210992445949466,0.3000000000000007,5.5
27037,3834,11,2013-01-01,2023-12-31,0.6626760563380282,0.9490117859377311,0.0965832029212311,0.10380803338549817,0.5,5.6
30054,3834,11,2013-01-01,2023-12-31,1.2991653625456443,1.8729995414339506,0.2775169535732916,0.06703182055294732,0.8999999999999986,11.3
31253,3826,11,2013-01-01,2023-12-31,1.0695504443282804,1.4622189169216966,-0.017015159435441705,0.07135389440669106,0.8000000000000007,7.699999999999999
29612,3820,11,2013-01-01,2023-12-31,1.166701570680628,1.6477956082269873,0.2462303664921466,0.07539267015706806,0.8000000000000007,10.8
23405,3814,11,2013-01-01,2023-12-31,0.7805191400104876,1.1237543357098754,0.1109858416360776,0.09779758783429471,0.5,8.0
22837,3806,11,2013-01-01,2023-12-31,1.0415922228060956,1.4390516597584309,0.4244613767735155,0.0790856542301629,0.7999999999999989,7.999999999999999
21982,3796,11,2013-01-01,2023-12-31,1.3341675447839831,1.888823123644209,-0.07052160168598523,0.037934668071654375,0.9000000000000021,12.1
23891,3789,11,2013-01-01,2023-12-31,1.3326471364476113,1.8531819802971803,0.2520981789390341,0.06809184481393507,0.9000000000000021,11.099999999999998
29263,3779,11,2013-01-01,2023-12-31,1.2327335273881979,1.707463032671164,0.19229955014554112,0.06694892828790686,0.8999999999999995,9.599999999999998
