mode,seeds,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MedAE_mean,MedAE_std,n_mean
scratch,5,0.9758349383568687,0.0004424399879361657,0.9360102359760282,0.008570675100383347,0.6774633699695005,0.004221288866693426,0.48543448448181153,0.003659594126421809,3624.0
finetune,5,0.9747883240481527,0.000433324193446426,0.9560689641980045,0.008221897714034872,0.6954973956291248,0.006449054396943848,0.5040120601654051,0.010011961017423179,3624.0
zero-shot,5,0.9426750178741722,0.004257878527654849,1.4408731869178077,0.05439248349690544,1.0165843452023093,0.023012761487568964,0.6985896205902101,0.018708203476443502,3624.0
