seed,mode,R2,RMSE,MAE,MedAE,n
42,finetune,0.9751617702090668,0.9489897668356592,0.6885330830846664,0.4942539691925048,3624
52,finetune,0.9745284651305822,0.9610119029797068,0.7006349849911452,0.5152928829193115,3624
62,finetune,0.9753106714169354,0.9461409700979208,0.6883510743676957,0.4967018604278562,3624
72,finetune,0.9746561490256186,0.9586001930989956,0.699722129843356,0.5142642498016352,3624
82,finetune,0.9742845644585612,0.96560198797774,0.7002457058587611,0.4995473384857178,3624
42,scratch,0.9755479247604016,0.9415840014714584,0.6770670699889034,0.4801534652709962,3624
52,scratch,0.9764148226714852,0.924742423928603,0.6716743539698077,0.4845546722412108,3624
62,scratch,0.9752770204189064,0.9467855349426156,0.683409054528009,0.484906792640686,3624
72,scratch,0.976062257823592,0.9316285766754072,0.6765278463068912,0.4877155780792236,3624
82,scratch,0.9758726661099586,0.9353106428620568,0.6786385250538917,0.4898419141769409,3624
42,zero-shot,0.9392805604160636,1.4837648765313465,1.0237741252839172,0.678669023513794,3624
52,zero-shot,0.949566247034032,1.3522651398470955,0.9762735039587842,0.6937613487243655,3624
62,zero-shot,0.9427322668387772,1.4409742011733182,1.0205305378300202,0.6969759464263919,3624
72,zero-shot,0.9427937829185185,1.4402000575455862,1.030655546719928,0.7295156002044677,3624
82,zero-shot,0.93900223216347,1.4871616594916923,1.0316880122188965,0.6940261840820316,3624
