group,n,R2,RMSE,MAE,MedAE
27857,4017,0.9973753782117902,0.5724354530965365,0.38722454246253196,0.26221160888671946
27947,4017,0.9970728045787313,0.5944033698031713,0.4083791556392762,0.284791183471679
27962,4017,0.9976031224573085,0.5657549535421664,0.4023743102287575,0.28504533767700213
27995,4017,0.9980923088704624,0.5479417990044667,0.38114018957799484,0.271742057800293
28900,4017,0.9976607078739862,0.6030636846533447,0.4097767005252815,0.27392654418945384
34059,4017,0.9983446297705333,0.46891487954121674,0.32381611901905993,0.21718902587890554
34152,4017,0.9979183138573319,0.522447143190363,0.3609268604892981,0.2513861656188965
34163,4017,0.9980817514396099,0.5270200787872024,0.3592115600577391,0.2490770339965822
34186,4017,0.9981580851328904,0.5494010140210788,0.3643546211740286,0.25287322998046946
34240,4017,0.9975925161032586,0.5488195532918246,0.3709670817760024,0.2467645645141605
34289,4017,0.9983743901232296,0.524252503120247,0.34464052220259783,0.22925453186035138
34391,4017,0.9985300341931849,0.5025739067677836,0.32510442216211743,0.2110866546630863
35007,4017,0.9981223349316272,0.5656097370505722,0.37968437045493586,0.25607566833496165
35108,4017,0.9781155834622276,1.969218233885821,1.2326198166687452,0.6968858718872071
