mode,seeds,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MedAE_mean,MedAE_std,n_mean
scratch,3,0.9759283968180646,0.0004236784589036865,0.9342058005764337,0.008201534306962206,0.6740942738725474,0.006616989353712435,0.4791853745778401,0.003636360093840428,3624.0
finetune,3,0.9750066664151849,0.00032290478805668,0.9519349260757256,0.0061492636034035705,0.6925246839886469,0.006010224609537036,0.5006219704945885,0.012676150799417522,3624.0
zero-shot,3,0.9437529447354726,0.001638056925309246,1.427973486062821,0.020883747210623218,1.0069983915294944,0.00893904095821777,0.688509766260783,0.0024752803410898476,3624.0
