mode,R2,RMSE,MAE,MedAE,n
zero-shot,0.9791666240219132,1.771306057587896,1.031338978028344,0.6004384994506831,5110
scratch,0.9859688954381324,1.4536495312589561,0.8738536465191328,0.5569998264312748,5110
finetune,0.9855840700965587,1.4734490157769518,0.8713968470418523,0.54498963356018,5110
